CountyFP,Time_fornow_enddate,StartDate,EndDate,DurationDays,Hazard,CropDmg,avg_tmax,avg_tmin,avg_ppt,unique_id,duplicate
10003,9/10/2016,9/10/2016,9/10/2016,1,Heat,0,92.63337084,73.69027651,0,10003 2016-09-10,FALSE
10003,8/20/2016,8/20/2016,8/20/2016,1,Heat,0,87.88843807,66.96534422,0,10003 2016-08-20,FALSE
10005,6/19/2014,6/18/2014,6/19/2014,2,Heat,0,93.84115086,72.65920654,0.078184374,10005 2014-06-18,FALSE
10003,7/20/2013,7/15/2013,7/20/2013,6,Heat,0,92.97620008,75.14940145,0.000325093,10003 2013-07-15,FALSE
10003,6/9/2011,6/8/2011,6/9/2011,2,Heat,0,90.69876747,69.68800287,0,10003 2011-06-08,FALSE
10001,6/9/2011,6/9/2011,6/9/2011,1,Heat,0,93.58745462,73.2873201,0,10001 2011-06-09,FALSE
24011,6/9/2011,6/9/2011,6/9/2011,1,Heat,0,95.38209399,72.48298829,0,24011 2011-06-09,FALSE
24015,6/24/2010,6/23/2010,6/24/2010,2,Heat,0,92.81485683,71.61211428,0.209242282,24015 2010-06-23,FALSE
10001,8/3/2006,8/1/2006,8/3/2006,3,Heat,0,94.57665266,76.72665262,0.014448404,10001 2006-08-01,FALSE
10003,8/3/2006,8/1/2006,8/3/2006,3,Heat,0,95.65973503,76.79920289,0.005080091,10003 2006-08-01,FALSE
24019,7/20/2002,7/20/2002,7/20/2002,1,Heat,0,93.16972067,74.55103784,0.010529742,24019 2002-07-20,FALSE
24041,7/4/2002,7/1/2002,7/4/2002,4,Heat,0,91.76521088,71.70851301,0.000744094,24041 2002-07-01,FALSE
24041,7/30/2002,7/28/2002,7/30/2002,3,Heat,0,91.33331619,74.95314803,0.008283202,24041 2002-07-28,FALSE
24015,8/10/2001,8/6/2001,8/10/2001,5,Heat,0,95.59915427,72.29603992,0.123210599,24015 2001-08-06,FALSE
10003,6/9/1999,6/7/1999,6/9/1999,3,Heat,0,90.20226765,67.52014992,0,10003 1999-06-07,FALSE
24011,6/9/1999,6/7/1999,6/9/1999,3,Heat,0,92.37238823,67.99062359,0,24011 1999-06-07,FALSE
24015,6/9/1999,6/7/1999,6/9/1999,3,Heat,0,91.16274283,66.07556167,0,24015 1999-06-07,FALSE
24029,6/9/1999,6/7/1999,6/9/1999,3,Heat,0,91.63581307,68.67270444,0,24029 1999-06-07,FALSE
24035,6/9/1999,6/7/1999,6/9/1999,3,Heat,0,92.11972093,68.36350686,0,24035 1999-06-07,FALSE
24041,6/9/1999,6/7/1999,6/9/1999,3,Heat,0,92.17610013,69.79401199,0,24041 1999-06-07,FALSE
24011,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,95.86552918,75.67077646,0,24011 1999-07-04,FALSE
24015,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,95.93289526,75.7666572,0,24015 1999-07-04,FALSE
24029,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,95.33024798,77.17916509,0,24029 1999-07-04,FALSE
24035,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,95.71226194,76.61435514,0,24035 1999-07-04,FALSE
24041,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,95.83656821,77.83794805,0,24041 1999-07-04,FALSE
24011,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,92.38702346,70.23645883,0.056575404,24011 1999-07-23,FALSE
24015,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,92.96098733,68.85819683,0.007735353,24015 1999-07-23,FALSE
24029,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,92.06888265,71.40750439,0.045173457,24029 1999-07-23,FALSE
24035,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,92.41729655,71.05372764,0.050521616,24035 1999-07-23,FALSE
24041,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,92.40123211,72.18348791,0.032127472,24041 1999-07-23,FALSE
10001,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,94.59613038,76.20448214,0,10001 1999-07-04,FALSE
10003,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,95.45137625,76.60638231,0,10003 1999-07-04,FALSE
10005,7/6/1999,7/4/1999,7/6/1999,3,Heat,0,94.71712346,76.40734416,0,10005 1999-07-04,FALSE
10001,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,91.24322314,70.7086316,0.02727932,10001 1999-07-23,FALSE
10003,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,92.55233827,70.48078526,0.005519016,10003 1999-07-23,FALSE
10005,7/31/1999,7/23/1999,7/31/1999,9,Heat,0,90.86642857,71.30609478,0.054146982,10005 1999-07-23,FALSE
10001,9/17/1999,9/1/1999,9/17/1999,17,Drought,14620275.52,79.3737018,65.23079975,0.612333,10001 1999-09-01,FALSE
10003,9/17/1999,9/1/1999,9/17/1999,17,Drought,14620275.52,79.18157816,64.25924026,0.66462939,10003 1999-09-01,FALSE
10005,9/17/1999,9/1/1999,9/17/1999,17,Drought,14620275.52,79.16574448,66.12043284,0.497721604,10005 1999-09-01,FALSE
10003,6/26/1998,6/25/1998,6/26/1998,2,Heat,0,86.84185718,71.18450439,0,10003 1998-06-25,FALSE
10001,7/24/1998,7/20/1998,7/24/1998,5,Heat,0,92.81439064,72.16362355,0.060048902,10001 1998-07-20,FALSE
10003,7/24/1998,7/20/1998,7/24/1998,5,Heat,0,90.59277942,71.00080643,0.124311139,10003 1998-07-20,FALSE
10005,7/24/1998,7/20/1998,7/24/1998,5,Heat,0,92.79743115,73.40931329,9.20851E-05,10005 1998-07-20,FALSE
24019,11/30/1998,11/1/1998,11/30/1998,30,Drought,3081067.48,58.95028613,38.98680574,0.02993016,24019 1998-11-01,FALSE
